month,country,exports,imports,inflation,unemployment,dgs10_yield_pct,sentiment_score,currency crisis,debt crisis,year,gdp_growth,interest_rate,gdp_growth_lag1,gdp_growth_lag3,gdp_growth_roll3,gdp_growth_momentum,inflation_lag1,inflation_lag3,inflation_roll3,inflation_momentum,unemployment_lag1,unemployment_lag3,unemployment_roll3,unemployment_momentum,interest_rate_lag1,interest_rate_lag3,interest_rate_roll3,interest_rate_momentum,risk_now,risk_label
1,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,5.64639671637408,5.64639671637408,-0.9830914533411228,0.0,2.42604117060158,2.41890639481001,12.2504202448139,0.0,5.606999999999999,5.615,2.25,0.0,4.4260411706015805,4.41890639481001,14.2504202448139,0.0,1,1.0
2,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,5.64639671637408,-0.9830914533411228,0.0,12.2504202448139,2.41890639481001,12.2504202448139,0.0,2.25,5.615,2.25,0.0,14.2504202448139,4.41890639481001,14.2504202448139,0.0,1,1.0
3,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,5.64639671637408,-0.9830914533411228,0.0,12.2504202448139,2.41890639481001,12.2504202448139,0.0,2.25,5.615,2.25,0.0,14.2504202448139,4.41890639481001,14.2504202448139,0.0,1,1.0
4,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
5,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
6,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
7,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
8,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
9,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
10,ARE,49.1592253276122,40.7053546013305,12.2504202448139,2.25,3.152272727272727,,,,2000,-0.9830914533411228,14.2504202448139,-0.9830914533411228,-0.9830914533411228,-0.9830914533411228,0.0,12.2504202448139,12.2504202448139,12.2504202448139,0.0,2.25,2.25,2.25,0.0,14.2504202448139,14.2504202448139,14.2504202448139,0.0,1,1.0
