timestamp,inflation,currency crisis,debt crisis,country_code,country
2016-04-01,33,0,1,IN,India
2016-05-01,32,0,1,IN,India
2016-06-01,37,0,1,IN,India
2016-07-01,35,0,0,IN,India
2016-08-01,38,0,1,IN,India
2016-09-01,35,0,1,IN,India
2016-10-01,30,0,0,IN,India
2016-11-01,47,2,0,IN,India
2016-12-01,36,1,1,IN,India
2017-01-01,29,0,1,IN,India
2017-02-01,34,0,1,IN,India
2017-03-01,35,0,1,IN,India
2017-04-01,33,0,0,IN,India
2017-05-01,31,0,0,IN,India
2017-06-01,30,0,0,IN,India
2017-07-01,32,0,1,IN,India
2017-08-01,29,0,0,IN,India
2017-09-01,33,0,1,IN,India
2017-10-01,38,0,1,IN,India
2017-11-01,39,0,1,IN,India
2017-12-01,39,0,0,IN,India
2018-01-01,34,0,0,IN,India
2018-02-01,38,0,0,IN,India
2018-03-01,37,0,0,IN,India
2018-04-01,38,0,0,IN,India
2018-05-01,33,0,0,IN,India
2018-06-01,29,0,0,IN,India
2018-07-01,31,0,0,IN,India
2018-08-01,30,1,0,IN,India
2018-09-01,31,1,1,IN,India
2018-10-01,26,1,1,IN,India
2018-11-01,29,0,0,IN,India
2018-12-01,33,0,0,IN,India
2019-01-01,29,0,0,IN,India
2019-02-01,33,0,0,IN,India
2019-03-01,33,0,0,IN,India
2019-04-01,32,1,1,IN,India
2019-05-01,33,0,0,IN,India
2019-06-01,26,1,0,IN,India
2019-07-01,28,0,1,IN,India
2019-08-01,33,0,1,IN,India
2019-09-01,37,0,1,IN,India
2019-10-01,30,0,0,IN,India
2019-11-01,39,0,0,IN,India
2019-12-01,39,0,0,IN,India
2020-01-01,42,0,0,IN,India
2020-02-01,39,0,0,IN,India
2020-03-01,33,0,1,IN,India
2020-04-01,35,1,1,IN,India
2020-05-01,35,1,1,IN,India
2020-06-01,31,0,1,IN,India
2020-07-01,32,0,0,IN,India
2020-08-01,37,0,0,IN,India
2020-09-01,39,0,0,IN,India
2020-10-01,32,0,0,IN,India
