country,month,y_true,y_pred,y_prob
JPN,2018-01-31,0,0,0.2122979337107306
ISR,2018-01-31,0,0,0.2079360743820331
AUS,2018-01-31,0,0,0.21598883929801901
IDN,2018-01-31,0,0,0.2738520014302279
TUR,2018-01-31,0,0,0.3449206511873019
ARG,2018-01-31,0,1,0.7857657000981125
SGP,2018-01-31,0,0,0.19959490089714557
NOR,2018-01-31,0,0,0.2895916169986692
ESP,2018-01-31,0,0,0.24480629224942632
THA,2018-01-31,0,0,0.22538195180809162
CHN,2018-01-31,0,0,0.2319981640942894
ARE,2018-01-31,0,0,0.22238307445443292
BRA,2018-01-31,0,0,0.37017754087610294
DEU,2018-01-31,0,0,0.24496822406655075
FRA,2018-01-31,0,0,0.2082811482386601
CAN,2018-01-31,0,0,0.2159675611937751
CHE,2018-01-31,0,0,0.19379960638931204
IRL,2018-01-31,0,0,0.19312358904224744
RUS,2018-01-31,0,0,0.1945691325694253
IND,2018-01-31,0,0,0.48792438120446496
BEL,2018-01-31,0,0,0.1942546729503195
SWE,2018-01-31,0,0,0.19063805169470305
POL,2018-01-31,0,0,0.19233087567127485
KOR,2018-01-31,0,0,0.24539593259489423
MEX,2018-01-31,0,0,0.3641007842961151
SAU,2018-01-31,0,0,0.25956419986752927
USA,2018-01-31,0,0,0.29348926861903496
GBR,2018-01-31,0,0,0.26291849976189746
ITA,2018-01-31,0,0,0.20622832030730862
NLD,2018-01-31,0,0,0.20089063081507633
CHN,2018-02-28,0,0,0.23495136028505395
BRA,2018-02-28,0,0,0.337837880864229
DEU,2018-02-28,0,0,0.27982512297832374
IRL,2018-02-28,0,0,0.18667689381438293
JPN,2018-02-28,0,0,0.2428817126606324
POL,2018-02-28,0,0,0.2083690710016383
GBR,2018-02-28,0,0,0.2692294694734254
CAN,2018-02-28,0,0,0.23059140415005985
IDN,2018-02-28,0,0,0.20597927788146755
BEL,2018-02-28,0,0,0.18822441733307668
SAU,2018-02-28,0,0,0.21813177115891533
